"Plot Title: Rainfall  Millimeters"
"#","Date Time, GMT-06:00","Rainfall  mm, mm (LGR S/N: 21098380, SEN S/N: 21098380, LBL: Rain mm)","Host Connected (LGR S/N: 21098380)","Stopped (LGR S/N: 21098380)","End Of File (LGR S/N: 21098380)"
1,02/07/23 10:46:06 AM,0.00,,,
2,02/09/23 02:52:09 AM,0.25,,,
3,02/09/23 03:07:39 AM,0.50,,,
4,02/09/23 03:24:35 AM,0.75,,,
5,02/09/23 03:35:22 AM,1.00,,,
6,02/09/23 03:44:14 AM,1.25,,,
7,02/09/23 03:48:45 AM,1.50,,,
8,02/09/23 03:58:56 AM,1.75,,,
9,02/09/23 04:04:08 AM,2.00,,,
10,02/09/23 04:08:01 AM,2.25,,,
11,02/09/23 04:10:16 AM,2.50,,,
12,02/09/23 04:14:05 AM,2.75,,,
13,02/09/23 04:17:17 AM,3.00,,,
14,02/09/23 04:20:25 AM,3.25,,,
15,02/09/23 04:24:21 AM,3.50,,,
16,02/09/23 04:30:26 AM,3.75,,,
17,02/09/23 04:33:08 AM,4.00,,,
18,02/09/23 04:36:59 AM,4.25,,,
19,02/09/23 04:40:31 AM,4.50,,,
20,02/09/23 04:45:19 AM,4.75,,,
21,02/09/23 04:48:47 AM,5.00,,,
22,02/09/23 04:53:30 AM,5.25,,,
23,02/09/23 04:59:23 AM,5.50,,,
24,02/09/23 05:06:16 AM,5.75,,,
25,02/09/23 05:10:17 AM,6.00,,,
26,02/09/23 05:15:55 AM,6.25,,,
27,02/09/23 05:31:17 AM,6.50,,,
28,02/09/23 05:43:46 AM,6.75,,,
29,02/09/23 05:51:39 AM,7.00,,,
30,02/09/23 05:57:59 AM,7.25,,,
31,02/09/23 06:04:38 AM,7.50,,,
32,02/09/23 06:06:58 AM,7.75,,,
33,02/09/23 06:09:16 AM,8.00,,,
34,02/09/23 06:12:23 AM,8.25,,,
35,02/09/23 06:16:05 AM,8.50,,,
36,02/09/23 06:18:33 AM,8.75,,,
37,02/09/23 06:20:26 AM,9.00,,,
38,02/09/23 06:22:44 AM,9.25,,,
39,02/09/23 06:23:59 AM,9.50,,,
40,02/09/23 06:24:44 AM,9.75,,,
41,02/09/23 06:25:28 AM,10.00,,,
42,02/09/23 06:26:25 AM,10.25,,,
43,02/09/23 06:27:08 AM,10.50,,,
44,02/09/23 06:28:11 AM,10.75,,,
45,02/09/23 06:29:11 AM,11.00,,,
46,02/09/23 06:30:55 AM,11.25,,,
47,02/09/23 06:32:30 AM,11.50,,,
48,02/09/23 06:34:42 AM,11.75,,,
49,02/09/23 06:36:49 AM,12.00,,,
50,02/09/23 06:37:33 AM,12.25,,,
51,02/09/23 06:37:56 AM,12.50,,,
52,02/09/23 06:38:43 AM,12.75,,,
53,02/09/23 06:39:24 AM,13.00,,,
54,02/09/23 06:40:23 AM,13.25,,,
55,02/09/23 06:41:03 AM,13.50,,,
56,02/09/23 06:41:58 AM,13.75,,,
57,02/09/23 06:43:31 AM,14.00,,,
58,02/09/23 06:45:05 AM,14.25,,,
59,02/09/23 06:46:30 AM,14.50,,,
60,02/09/23 06:47:04 AM,14.75,,,
61,02/09/23 06:47:27 AM,15.00,,,
62,02/09/23 06:47:48 AM,15.25,,,
63,02/09/23 06:48:06 AM,15.50,,,
64,02/09/23 06:48:29 AM,15.75,,,
65,02/09/23 06:49:02 AM,16.00,,,
66,02/09/23 06:49:55 AM,16.25,,,
67,02/09/23 06:50:33 AM,16.50,,,
68,02/09/23 06:51:45 AM,16.75,,,
69,02/09/23 06:52:34 AM,17.00,,,
70,02/09/23 06:54:52 AM,17.25,,,
71,02/09/23 06:56:44 AM,17.50,,,
72,02/09/23 06:58:51 AM,17.75,,,
73,02/09/23 07:00:03 AM,18.00,,,
74,02/09/23 07:02:09 AM,18.25,,,
75,02/09/23 07:04:23 AM,18.50,,,
76,02/09/23 07:06:23 AM,18.75,,,
77,02/09/23 07:08:44 AM,19.00,,,
78,02/09/23 07:12:31 AM,19.25,,,
79,02/09/23 07:18:31 AM,19.50,,,
80,02/09/23 09:19:25 AM,19.75,,,
81,02/09/23 09:32:56 AM,20.00,,,
82,02/09/23 10:05:03 AM,20.25,,,
