"Plot Title: Rainfall  Millimeters"
"#","Date Time, GMT+00:00","Rainfall  mm, mm (LGR S/N: 21098380, SEN S/N: 21098380, LBL: Rain mm)","Host Connected (LGR S/N: 21098380)","Stopped (LGR S/N: 21098380)","End Of File (LGR S/N: 21098380)"
1,04/04/23 04:23:50 PM,0.00,,,
2,04/05/23 01:32:53 AM,0.25,,,
3,04/05/23 02:08:24 AM,0.50,,,
4,04/05/23 02:27:02 AM,0.75,,,
5,04/05/23 02:39:22 AM,1.00,,,
6,04/05/23 02:41:16 AM,1.25,,,
7,04/05/23 10:13:43 AM,1.50,,,
8,04/05/23 10:13:54 AM,1.75,,,
9,04/05/23 10:14:40 AM,2.00,,,
10,04/05/23 10:31:39 AM,2.25,,,
11,04/05/23 10:32:04 AM,2.50,,,
12,04/05/23 10:32:15 AM,2.75,,,
13,04/05/23 10:32:33 AM,3.00,,,
14,04/05/23 10:32:42 AM,3.25,,,
15,04/05/23 10:32:58 AM,3.50,,,
16,04/05/23 10:33:07 AM,3.75,,,
17,04/05/23 10:33:21 AM,4.00,,,
18,04/05/23 10:34:03 AM,4.25,,,
19,04/05/23 10:35:39 AM,4.50,,,
20,04/05/23 10:51:08 AM,4.75,,,
21,04/05/23 12:23:32 PM,5.00,,,
22,04/05/23 12:41:38 PM,5.25,,,
23,04/05/23 12:44:17 PM,5.50,,,
24,04/05/23 12:45:43 PM,5.75,,,
25,04/05/23 12:50:43 PM,6.00,,,
26,04/05/23 12:57:06 PM,6.25,,,
27,04/05/23 01:05:34 PM,6.50,,,
28,04/05/23 01:10:27 PM,6.75,,,
29,04/05/23 01:21:18 PM,7.00,,,
30,04/05/23 01:24:49 PM,7.25,,,
31,04/05/23 01:28:10 PM,7.50,,,
32,04/05/23 01:31:53 PM,7.75,,,
33,04/05/23 01:42:46 PM,8.00,,,
34,04/16/23 06:00:41 AM,8.25,,,
35,04/16/23 06:18:12 AM,8.50,,,
36,04/16/23 06:22:33 AM,8.75,,,
37,04/16/23 06:35:37 AM,9.00,,,
38,04/16/23 06:50:23 AM,9.25,,,
39,04/16/23 01:02:12 PM,9.50,,,
40,04/16/23 01:18:16 PM,9.75,,,
41,04/16/23 01:25:56 PM,10.00,,,
42,04/16/23 01:35:45 PM,10.25,,,
43,04/16/23 03:44:12 PM,10.50,,,
44,04/16/23 04:00:05 PM,10.75,,,
45,04/16/23 04:13:05 PM,11.00,,,
46,04/16/23 04:37:10 PM,11.25,,,
47,04/16/23 04:50:18 PM,11.50,,,
48,04/16/23 04:52:25 PM,11.75,,,
49,04/16/23 04:55:08 PM,12.00,,,
50,04/16/23 04:59:11 PM,12.25,,,
51,04/16/23 05:04:40 PM,12.50,,,
52,04/16/23 05:37:14 PM,12.75,,,
53,04/16/23 06:55:40 PM,13.00,,,
54,04/16/23 07:27:40 PM,13.25,,,
55,04/16/23 08:15:10 PM,13.50,,,
56,04/17/23 01:16:22 AM,13.75,,,
57,04/17/23 02:00:12 AM,14.00,,,
58,04/17/23 02:54:43 AM,14.25,,,
59,04/17/23 03:01:16 AM,14.50,,,
60,04/17/23 03:47:12 AM,14.75,,,
61,04/17/23 11:40:18 AM,15.00,,,
62,04/19/23 10:38:49 PM,15.25,,,
63,04/19/23 10:41:07 PM,15.50,,,
64,04/19/23 10:42:02 PM,15.75,,,
65,04/19/23 10:43:13 PM,16.00,,,
66,04/19/23 10:43:28 PM,16.25,,,
67,04/19/23 10:44:07 PM,16.50,,,
68,04/19/23 10:45:18 PM,16.75,,,
69,04/19/23 10:46:11 PM,17.00,,,
70,04/19/23 10:47:34 PM,17.25,,,
71,04/19/23 10:49:08 PM,17.50,,,
72,04/19/23 10:49:31 PM,17.75,,,
73,04/19/23 10:50:01 PM,18.00,,,
74,04/19/23 10:50:21 PM,18.25,,,
75,04/19/23 10:51:04 PM,18.50,,,
76,04/19/23 10:51:25 PM,18.75,,,
77,04/19/23 10:51:46 PM,19.00,,,
78,04/19/23 10:52:11 PM,19.25,,,
79,04/19/23 10:53:11 PM,19.50,,,
80,04/19/23 10:53:53 PM,19.75,,,
81,04/19/23 10:55:37 PM,20.00,,,
82,04/19/23 11:00:04 PM,20.25,,,
83,04/19/23 11:03:00 PM,20.50,,,
84,04/19/23 11:07:09 PM,20.75,,,
85,04/19/23 11:13:35 PM,21.00,,,
86,04/19/23 11:26:21 PM,21.25,,,
87,04/20/23 04:00:25 PM,21.50,,,
88,04/20/23 04:02:16 PM,21.75,,,
89,04/20/23 04:59:41 PM,22.00,,,
90,04/20/23 05:01:49 PM,22.25,,,
91,04/20/23 05:02:58 PM,22.50,,,
92,04/20/23 05:03:33 PM,22.75,,,
93,04/20/23 05:05:09 PM,23.00,,,
94,04/20/23 05:07:02 PM,23.25,,,
95,04/20/23 11:34:26 PM,23.50,,,
96,04/20/23 11:41:47 PM,23.75,,,
97,04/20/23 11:58:46 PM,24.00,,,
98,04/22/23 03:53:50 PM,24.25,,,
99,04/22/23 03:57:10 PM,24.50,,,
100,04/22/23 04:00:27 PM,24.75,,,
101,04/22/23 09:19:34 PM,25.00,,,
102,04/23/23 12:50:17 AM,25.25,,,
103,04/23/23 01:05:36 AM,25.50,,,
104,04/25/23 08:13:15 AM,25.75,,,
105,04/25/23 08:28:30 AM,26.00,,,
106,04/25/23 11:15:12 AM,26.25,,,
107,04/25/23 11:39:33 AM,26.50,,,
108,04/26/23 09:31:44 PM,,Logged,,
109,04/26/23 09:33:31 PM,,Logged,,
110,04/26/23 09:35:54 PM,26.75,Logged,,
111,04/29/23 04:33:40 PM,27.00,,,
112,04/29/23 04:37:44 PM,27.25,,,
113,04/29/23 04:44:01 PM,27.50,,,
114,04/29/23 04:47:44 PM,27.75,,,
115,04/29/23 04:53:55 PM,28.00,,,
116,04/29/23 04:59:56 PM,28.25,,,
117,04/29/23 05:04:05 PM,28.50,,,
118,04/29/23 05:08:33 PM,28.75,,,
119,04/29/23 05:09:49 PM,29.00,,,
120,04/29/23 05:11:41 PM,29.25,,,
121,04/29/23 05:13:12 PM,29.50,,,
122,04/29/23 05:15:59 PM,29.75,,,
123,04/29/23 05:17:42 PM,30.00,,,
124,04/29/23 05:20:06 PM,30.25,,,
125,04/29/23 05:21:39 PM,30.50,,,
126,04/29/23 05:25:19 PM,30.75,,,
127,04/29/23 05:28:51 PM,31.00,,,
128,04/29/23 05:32:47 PM,31.25,,,
129,04/29/23 05:37:47 PM,31.50,,,
130,04/29/23 05:42:51 PM,31.75,,,
131,04/29/23 05:46:52 PM,32.00,,,
132,04/30/23 03:04:10 PM,32.25,,,
133,04/30/23 03:07:03 PM,32.50,,,
134,04/30/23 04:34:52 PM,32.75,,,
135,04/30/23 05:09:21 PM,33.00,,,
136,04/30/23 05:11:12 PM,33.25,,,
137,04/30/23 05:50:09 PM,33.50,,,
138,04/30/23 07:49:31 PM,33.75,,,
139,04/30/23 08:02:55 PM,34.00,,,
140,04/30/23 08:20:41 PM,34.25,,,
141,04/30/23 08:33:45 PM,34.50,,,
142,04/30/23 08:56:38 PM,34.75,,,
143,04/30/23 09:06:34 PM,35.00,,,
144,04/30/23 09:30:27 PM,35.25,,,
145,04/30/23 09:45:32 PM,35.50,,,
146,04/30/23 09:52:14 PM,35.75,,,
147,04/30/23 09:58:09 PM,36.00,,,
148,04/30/23 10:14:44 PM,36.25,,,
149,04/30/23 11:25:18 PM,36.50,,,
150,05/01/23 03:48:09 PM,36.75,,,
151,05/01/23 03:54:11 PM,37.00,,,
152,05/01/23 04:32:35 PM,37.25,,,
153,05/01/23 04:54:39 PM,37.50,,,
154,05/01/23 05:23:40 PM,37.75,,,
155,05/01/23 05:36:24 PM,38.00,,,
156,05/01/23 06:00:26 PM,38.25,,,
157,05/01/23 07:06:01 PM,38.50,,,
158,05/01/23 09:16:31 PM,38.75,,,
159,05/02/23 03:49:20 PM,,Logged,,
160,05/02/23 03:49:45 PM,38.75,,Logged,Logged
