"Plot Title: Rainfall  Millimeters"
"#","Date Time, GMT+00:00","Rainfall  mm, mm (LGR S/N: 21098380, SEN S/N: 21098380, LBL: Rain mm)","Host Connected (LGR S/N: 21098380)","Stopped (LGR S/N: 21098380)","End Of File (LGR S/N: 21098380)"
1,01/03/23 05:03:25 PM,0.00,,,
2,01/03/23 08:04:17 PM,0.25,,,
3,01/04/23 01:40:08 AM,0.50,,,
4,01/05/23 12:44:49 PM,0.75,,,
5,01/05/23 03:15:57 PM,1.00,,,
6,01/13/23 07:20:15 AM,1.25,,,
7,01/13/23 07:23:52 AM,1.50,,,
8,01/13/23 07:26:31 AM,1.75,,,
9,01/16/23 02:54:20 PM,2.00,,,
10,01/16/23 03:04:59 PM,2.25,,,
11,01/16/23 03:09:26 PM,2.50,,,
12,01/16/23 03:12:55 PM,2.75,,,
13,01/16/23 03:19:06 PM,3.00,,,
14,01/16/23 03:31:12 PM,3.25,,,
15,01/16/23 04:05:40 PM,3.50,,,
16,01/16/23 05:35:01 PM,3.75,,,
17,01/16/23 05:39:17 PM,4.00,,,
18,01/16/23 05:42:15 PM,4.25,,,
19,01/16/23 05:46:00 PM,4.50,,,
20,01/16/23 05:50:28 PM,4.75,,,
21,01/16/23 06:45:52 PM,5.00,,,
22,01/16/23 06:57:57 PM,5.25,,,
23,01/16/23 07:03:27 PM,5.50,,,
24,01/16/23 07:07:01 PM,5.75,,,
25,01/16/23 07:09:21 PM,6.00,,,
26,01/16/23 07:11:24 PM,6.25,,,
27,01/16/23 07:13:38 PM,6.50,,,
28,01/16/23 07:15:17 PM,6.75,,,
29,01/16/23 07:16:31 PM,7.00,,,
30,01/16/23 07:17:29 PM,7.25,,,
31,01/16/23 07:20:07 PM,7.50,,,
32,01/16/23 07:21:56 PM,7.75,,,
33,01/16/23 07:48:11 PM,8.00,,,
34,01/16/23 07:54:41 PM,8.25,,,
35,01/16/23 07:57:16 PM,8.50,,,
36,01/19/23 12:37:01 AM,8.75,,,
37,01/19/23 01:07:18 AM,9.00,,,
38,01/19/23 01:12:19 AM,9.25,,,
39,01/19/23 01:15:05 AM,9.50,,,
40,01/19/23 01:17:21 AM,9.75,,,
41,01/19/23 01:19:46 AM,10.00,,,
42,01/19/23 01:23:32 AM,10.25,,,
43,01/19/23 01:43:17 AM,10.50,,,
44,01/19/23 01:56:08 AM,10.75,,,
45,01/19/23 01:57:47 AM,11.00,,,
46,01/19/23 01:59:58 AM,11.25,,,
47,01/19/23 02:03:27 AM,11.50,,,
48,01/19/23 02:07:02 AM,11.75,,,
49,01/19/23 02:11:55 AM,12.00,,,
50,01/19/23 02:15:41 AM,12.25,,,
51,01/19/23 02:19:50 AM,12.50,,,
52,01/19/23 02:26:06 AM,12.75,,,
53,01/19/23 02:32:44 AM,13.00,,,
54,01/19/23 02:37:46 AM,13.25,,,
55,01/19/23 02:43:35 AM,13.50,,,
56,01/19/23 02:49:12 AM,13.75,,,
57,01/19/23 02:55:25 AM,14.00,,,
58,01/19/23 03:06:02 AM,14.25,,,
59,01/19/23 03:10:38 AM,14.50,,,
60,01/19/23 03:14:26 AM,14.75,,,
61,01/19/23 03:23:37 AM,15.00,,,
62,01/19/23 03:45:13 AM,15.25,,,
63,01/19/23 03:48:42 AM,15.50,,,
64,01/19/23 03:51:34 AM,15.75,,,
65,01/19/23 03:53:49 AM,16.00,,,
66,01/19/23 03:56:15 AM,16.25,,,
67,01/19/23 03:58:34 AM,16.50,,,
68,01/19/23 04:03:36 AM,16.75,,,
69,01/19/23 04:11:29 AM,17.00,,,
70,01/19/23 04:14:05 AM,17.25,,,
71,01/19/23 04:17:25 AM,17.50,,,
72,01/19/23 04:25:00 AM,17.75,,,
73,01/19/23 05:30:41 AM,18.00,,,
74,01/19/23 05:38:25 AM,18.25,,,
75,01/19/23 05:47:27 AM,18.50,,,
76,01/19/23 05:52:36 AM,18.75,,,
77,01/19/23 06:05:21 AM,19.00,,,
78,01/19/23 06:21:11 AM,19.25,,,
79,01/19/23 07:46:35 AM,19.50,,,
80,01/19/23 08:33:37 AM,19.75,,,
81,01/19/23 10:23:33 AM,20.00,,,
82,01/19/23 07:15:25 PM,20.25,,,
83,01/19/23 07:45:10 PM,20.50,,,
84,01/19/23 08:04:26 PM,20.75,,,
85,01/19/23 08:13:11 PM,21.00,,,
86,01/19/23 08:19:08 PM,21.25,,,
87,01/19/23 08:26:16 PM,21.50,,,
88,01/19/23 08:35:18 PM,21.75,,,
89,01/19/23 08:43:05 PM,22.00,,,
90,01/19/23 09:04:49 PM,22.25,,,
91,01/19/23 09:26:51 PM,22.50,,,
92,01/19/23 09:54:47 PM,22.75,,,
93,01/19/23 10:09:55 PM,23.00,,,
94,01/19/23 10:23:02 PM,23.25,,,
95,01/19/23 11:06:26 PM,23.50,,,
96,01/20/23 03:23:22 AM,23.75,,,
97,01/22/23 12:09:18 PM,24.00,,,
98,01/22/23 12:44:53 PM,24.25,,,
99,01/22/23 04:18:43 PM,24.50,,,
100,01/22/23 06:56:02 PM,24.75,,,
101,01/25/23 07:06:43 AM,25.00,,,
102,01/25/23 07:27:05 AM,25.25,,,
103,01/25/23 07:58:17 AM,25.50,,,
104,01/25/23 08:21:29 AM,25.75,,,
105,01/25/23 08:43:16 AM,26.00,,,
106,01/25/23 08:58:13 AM,26.25,,,
107,01/25/23 09:12:02 AM,26.50,,,
108,01/25/23 09:22:09 AM,26.75,,,
109,01/25/23 09:32:11 AM,27.00,,,
110,01/25/23 09:40:48 AM,27.25,,,
111,01/25/23 09:55:03 AM,27.50,,,
112,01/25/23 10:08:14 AM,27.75,,,
113,01/25/23 10:20:04 AM,28.00,,,
114,01/25/23 10:29:55 AM,28.25,,,
115,01/25/23 10:45:20 AM,28.50,,,
116,01/25/23 11:00:54 AM,28.75,,,
117,01/25/23 11:33:46 AM,29.00,,,
118,01/25/23 12:17:15 PM,29.25,,,
119,01/25/23 12:58:35 PM,29.50,,,
120,01/25/23 01:10:00 PM,29.75,,,
121,01/25/23 01:28:35 PM,30.00,,,
122,01/25/23 01:50:16 PM,30.25,,,
123,01/25/23 02:08:52 PM,30.50,,,
124,01/25/23 02:30:53 PM,30.75,,,
125,01/25/23 02:45:30 PM,31.00,,,
126,01/25/23 03:14:34 PM,31.25,,,
127,01/25/23 03:50:34 PM,31.50,,,
128,01/25/23 04:20:39 PM,31.75,,,
129,01/25/23 04:43:00 PM,32.00,,,
130,01/25/23 04:55:19 PM,32.25,,,
131,01/25/23 05:07:59 PM,32.50,,,
132,01/25/23 05:20:50 PM,32.75,,,
133,01/25/23 05:37:07 PM,33.00,,,
134,01/25/23 05:57:12 PM,33.25,,,
135,01/25/23 06:46:34 PM,33.50,,,
136,01/25/23 09:11:20 PM,33.75,,,
137,01/25/23 10:58:27 PM,34.00,,,
138,01/26/23 12:16:51 AM,34.25,,,
139,01/26/23 06:14:54 AM,34.50,,,
140,01/26/23 10:41:58 AM,34.75,,,
141,01/26/23 11:16:06 AM,35.00,,,
142,01/26/23 01:07:07 PM,35.25,,,
143,01/27/23 07:21:25 PM,35.50,,,
144,01/27/23 07:29:32 PM,35.75,,,
145,01/27/23 07:37:18 PM,36.00,,,
146,01/29/23 03:25:53 AM,36.25,,,
147,01/29/23 03:42:04 AM,36.50,,,
148,01/29/23 03:50:43 AM,36.75,,,
149,01/29/23 04:36:19 AM,37.00,,,
150,01/29/23 04:46:12 AM,37.25,,,
151,01/29/23 05:34:51 AM,37.50,,,
152,01/29/23 05:50:01 AM,37.75,,,
153,01/29/23 06:14:52 AM,38.00,,,
154,01/30/23 05:23:03 AM,38.25,,,
155,02/07/23 04:43:32 PM,,Logged,,
156,02/07/23 04:43:50 PM,38.25,,Logged,Logged
